Card Name,Set Name
Cellar,Base
Chapel,Base
Moat,Base
Village,Base
Workshop,Base
Bureaucrat,Base
Gardens,Base
Militia,Base
Moneylender,Base
Remodel,Base
Smithy,Base
Throne Room,Base
Council Room,Base
Festival,Base
Laboratory,Base
Library,Base
Market,Base
Mine,Base
Witch,Base
Harbinger,Base
Merchant,Base
Vassal,Base
Poacher,Base
Bandit,Base
Sentry,Base
Artisan,Base
Hamlet,Cornucopia
Fortune Teller,Cornucopia
Menagerie,Cornucopia
Farming Village,Cornucopia
Horse Traders,Cornucopia
Remake,Cornucopia
Tournament,Cornucopia
Young Witch,Cornucopia
Harvest,Cornucopia
Horn of Plenty,Cornucopia
Hunting Party,Cornucopia
Jester,Cornucopia
Fairgrounds,Cornucopia
Poor House,Dark Ages
Beggar,Dark Ages
Squire,Dark Ages
Vagrant,Dark Ages
Forager,Dark Ages
Hermit,Dark Ages
Market Square,Dark Ages
Sage,Dark Ages
Storeroom,Dark Ages
Urchin,Dark Ages
Armory,Dark Ages
Death Cart,Dark Ages
Feodum,Dark Ages
Fortress,Dark Ages
Ironmonger,Dark Ages
Marauder,Dark Ages
Procession,Dark Ages
Rats,Dark Ages
Scavenger,Dark Ages
Wandering Minstrel,Dark Ages
Band of Misfits,Dark Ages
Bandit Camp,Dark Ages
Catacombs,Dark Ages
Count,Dark Ages
Counterfeit,Dark Ages
Cultist,Dark Ages
Graverobber,Dark Ages
Junk Dealer,Dark Ages
Mystic,Dark Ages
Pillage,Dark Ages
Rebuild,Dark Ages
Rogue,Dark Ages
Altar,Dark Ages
Hunting Grounds,Dark Ages
Knights,Dark Ages
Candlestick Maker,Guilds
Stonemason,Guilds
Doctor,Guilds
Masterpiece,Guilds
Advisor,Guilds
Herald,Guilds
Plaza,Guilds
Taxman,Guilds
Baker,Guilds
Butcher,Guilds
Journeyman,Guilds
Merchant Guild,Guilds
Soothsayer,Guilds
Courtyard,Intrigue
Pawn,Intrigue
Masquerade,Intrigue
Shanty Town,Intrigue
Steward,Intrigue
Swindler,Intrigue
Wishing Well,Intrigue
Baron,Intrigue
Bridge,Intrigue
Conspirator,Intrigue
Ironworks,Intrigue
Mining Village,Intrigue
Duke,Intrigue
Minion,Intrigue
Torturer,Intrigue
Trading Post,Intrigue
Upgrade,Intrigue
Harem,Intrigue
Nobles,Intrigue
Lurker,Intrigue
Diplomat,Intrigue
Mill,Intrigue
Secret Passage,Intrigue
Courtier,Intrigue
Patrol,Intrigue
Replace,Intrigue
Loan,Prosperity
Trade Route,Prosperity
Watchtower,Prosperity
Bishop,Prosperity
Monument,Prosperity
Quarry,Prosperity
Talisman,Prosperity
Worker's Village,Prosperity
City,Prosperity
Contraband,Prosperity
Counting House,Prosperity
Mint,Prosperity
Mountebank,Prosperity
Rabble,Prosperity
Royal Seal,Prosperity
Vault,Prosperity
Venture,Prosperity
Goons,Prosperity
Grand Market,Prosperity
Hoard,Prosperity
Bank,Prosperity
Expand,Prosperity
Forge,Prosperity
King's Court,Prosperity
Peddler,Prosperity
Embargo,Seaside
Haven,Seaside
Lighthouse,Seaside
Native Village,Seaside
Pearl Diver,Seaside
Ambassador,Seaside
Fishing Village,Seaside
Lookout,Seaside
Smugglers,Seaside
Warehouse,Seaside
Caravan,Seaside
Cutpurse,Seaside
Island,Seaside
Navigator,Seaside
Pirate Ship,Seaside
Salvager,Seaside
Sea Hag,Seaside
Treasure Map,Seaside
Bazaar,Seaside
Explorer,Seaside
Ghost Ship,Seaside
Merchant Ship,Seaside
Outpost,Seaside
Tactician,Seaside
Treasury,Seaside
Wharf,Seaside
